Nombre,Fecha_Nac,Nacionalidad,Posicion,Pais_Equipo,Equipo,Fecha_Ini,Fecha_Fin
Anthony Lopes,01/10/1990,Portugal,Portero,Francia,Olympique de Lyon,05/01/2021,
Dimitri Payet,29/03/1987,Francia,Mediocampista,Francia,Olympique de Marsella,20/07/2017,
Steve Mandanda,28/03/1985,Francia,Portero,Francia,Olympique de Marsella,20/07/2018,
Kevin Volland,30/07/1992,Alemania,Delantero,Francia,A.S. Mónaco F.C.,16/06/2015,
Aleksandr Golovin,30/05/1996,Rusia,Mediocampista,Francia,A.S. Mónaco F.C.,16/06/2017,
Lionel Messi,24/06/1987,Argentina,Delantero,Francia,Paris-Saint-Germain F.C.,16/06/2021,
Neymar,05/02/1992,Brasil,Delantero,Francia,Paris-Saint-Germain F.C.,16/06/2017,
Sergio Busquets,16/07/1988,España,Mediocampista,España,F.C. Barcelona,01/01/2005,
Gerard Pique,01/02/1987,España,Defensa,España,F.C. Barcelona,01/01/2001,
Toni Kroos,01/01/1985,Alemania,Mediocampista,España,Real Madrid C.F.,01/01/2005,
Eden Hazard,01/01/1985,Belgica,Delantero,España,Real Madrid C.F.,01/01/2018,
Antoine Griezmann,21/03/1991,Francia,Delantero,España,Atlético de Madrid,06/05/2015,
Marcos Llorente,30/01/1995,España,Mediocampista,España,Atlético de Madrid,06/05/2020,
Yassine Bounou,05/04/1991,Marroqui,Portero,España,Sevilla F.C.,08/01/2015,
Thomas Delaney,03/09/1991,Dinamarca,Mediocampista,España,Sevilla F.C.,09/06/2017,
Gerard Moreno,07/04/1992,España,Delantero,España,Villarreal C.F.,05/01/2018,
Gerónimo Rulli,20/05/1992,Argentina,Portero,España,Villarreal C.F.,06/05/2020,
Maxi Gómez,14/08/1996,Uruguay,Delantero,España,Valencia C.F.,06/01/2021,
Gabriel Paulista,26/11/1990,Brasil,Defensa,España,Valencia C.F.,01/06/2015,
Theo Hernández,06/10/1997,Francia,Defensa,Italia,A.C. Milan,06/05/2020,
Mike Maignan,03/06/1995,Francia,Portero,Italia,A.C. Milan,01/04/2015,
Alexis Sánchez,19/12/1988,Chile,Delantero,Italia,Inter de Milán,05/03/2014,
Joaquín Correa,13/08/1994,Argentina,Mediocampista,Italia,Inter de Milán,20/03/2016,
Mattia Perin,10/10/1992,Italia,Portero,Italia,Juventus,01/04/2016,
Paulo Dybala,15/11/1993,Argentina,Delantero,Italia,Juventus,02/06/2015,
Henrikh Mkhitaryan,21/01/1989,Inglaterra,Mediocampista,Italia,A.S. Roma,03/04/2015,
Chris Smalling,22/11/1989,Inglaterra,Defensa,Italia,A.S. Roma,06/04/2017,
Kalidou Koulibaly,20/06/1991,Senegal,Defensa,Italia,S.S.C. Napoli,06/05/2018,
Lorenzo Insigne,04/06/1991,Italia,Delantero,Italia,S.S.C. Napoli,03/04/2017,
